Title,EmploymentType,Location,Closingdate,Agency,Link
Help Desk Technician,Full-Time (Salaried),Chesterfield,,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/help-desk-technician-chesterfield-virginia-united-states
Magistrate - Prince George,Full-Time (Salaried),Prince George,Feb 24 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/magistrate-prince-george-prince-george-virginia-united-states
Utilities Trades Tech Sr,Full-Time (Salaried),Nottoway,,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/utilities-trades-tech-sr-blackstone-virginia-united-states
Meat and Poultry Enforcement Officer (Culpeper/Fauquier),Full-Time (Salaried),"Culpepper
  Fauquier County",Mar 3 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/meat-and-poultry-enforcement-officer-culpeper-fauquier-culpepper-virginia-united-states-fauquier-county
Meat and Poultry Enforcement Officer (Southwest),Full-Time (Salaried),"Bland
  Buchanan
  Carroll
  Dickenson
  Floyd
  Franklin County
  Giles, Virginia
  Grayson
  Henry
  Lee
  Patrick
  Pittsylvania
  Pulaski
  Russell
  Scott
  Smyth
  Tazewell
  Washington
  Wise, Virginia
  Wythe

            Bland
  Buchanan
  Carroll",Mar 3 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/meat-and-poultry-enforcement-officer-southwest-bland-virginia-united-states-buchanan-carroll-dickenson-floyd-franklin-county-giles-virginia-grayson-henry-lee-patrick-pittsylvania-pulaski-russ
DMV Customer Service Center Assistant Manager,Full-Time (Salaried),Fairfax County,Feb 28 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-fairfax-county-virginia-united-states
Peanut Mill Inspector/Sampler,Full-Time (Salaried),Suffolk,Feb 24 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/peanut-mill-inspector-sampler-suffolk-virginia-united-states
Maintenance Infrastructure Manager – Lynchburg District,Full-Time (Salaried),Lynchburg,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-infrastructure-manager-lynchburg-district-lynchburg-virginia-united-states
Life Safety Systems Technician,Full-Time (Salaried),Richmond,,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/life-safety-systems-technician-richmond-virginia-united-states
V3 Central and Southwest Regional Director,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/v3-central-and-southwest-regional-director-richmond-virginia-united-states
V3 North Regional Program Director-Fairfax,Full-Time (Salaried),Fairfax,Mar 3 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/v3-north-regional-program-director-fairfax-fairfax-virginia-united-states
Power Plant Lead Worker: Augusta Correctional Center #01753,Full-Time (Salaried),Augusta County,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/power-plant-lead-worker-augusta-correctional-center-01753-augusta-county-virginia-united-states
Corrections Officer: Patrick Henry Correctional Unit 28 #28008,Full-Time (Salaried),Henry,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-patrick-henry-correctional-unit-28-28008-henry-virginia-united-states
Inmate Grievance Coordinator: Red Onion State Prison #00512,Full-Time (Salaried),"Wise, Virginia",Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-red-onion-state-prison-00512-wise-virginia-virginia-united-states
Food Operations Supervisor: Green Rock Correctional Center #00030,Full-Time (Salaried),Pittsylvania,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-green-rock-correctional-center-00030-pittsylvania-virginia-united-states
Fiscal Technician: Keen Mountain Correctional Center #00020,Full-Time (Salaried),Buchanan,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-keen-mountain-correctional-center-00020-buchanan-virginia-united-states
Human Resources Assistant: River North Correctional Center #00013,Full-Time (Salaried),Grayson,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/human-resources-assistant-river-north-correctional-center-00013-grayson-virginia-united-states
Food Operations Director: ASD West Campus #00027,Full-Time (Salaried),Smyth,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-director-asd-west-campus-00027-smyth-virginia-united-states
Human Resources Assistant: Green Rock Correctional Center #00019,Full-Time (Salaried),Pittsylvania,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/human-resources-assistant-green-rock-correctional-center-00019-pittsylvania-virginia-united-states
Recruiter (Health Services) - Department of Corrections,Full-Time (Salaried),"Chesterfield
  Henrico
  Richmond",Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/recruiter-health-services-department-of-corrections-chesterfield-virginia-united-states-henrico-richmond
Inmate Grievance Coordinator: Greensville Correctional Center #00896,Full-Time (Salaried),Greensville,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-greensville-correctional-center-00896-greensville-virginia-united-states
Fiscal Technician: Greensville Correctional #00892,Full-Time (Salaried),Greensville,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-greensville-correctional-00892-greensville-virginia-united-states
Probation Officer: P&P District #28 Radford #P2811,Full-Time (Salaried),Radford,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-28-radford-p2811-radford-virginia-united-states
Attorney - Senior Assistant Public Defender - Chesapeake,Full-Time (Salaried),Chesapeake,Feb 23 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-senior-assistant-public-defender-chesapeake-chesapeake-virginia-united-states
Probation Officer,Full-Time (Salaried),"Loudoun County
  Warren
  Washington",Mar 1 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-loudoun-county-virginia-united-states-warren-washington
Attorney - Senior Assistant Public Defender - Chesterfield,Full-Time (Salaried),Chesterfield,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-senior-assistant-public-defender-chesterfield-chesterfield-virginia-united-states
Telecommunications Engineer - APCO,Full-Time (Salaried),North Chesterfield,Mar 2 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/telecommunications-engineer-apco-north-chesterfield-virginia-united-states
Business Systems Analyst,Full-Time (Salaried),North Chesterfield,Mar 2 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/business-systems-analyst-north-chesterfield-virginia-united-states
Regulatory Affairs Manager,Full-Time (Salaried),Henrico,Feb 27 2023 at 23:55 EST,Dept of Prof & Occup Reg,https://www.jobs.virginia.gov/jobs/regulatory-affairs-manager-henrico-virginia-united-states
Maintenance Operator (Toms Brook),Full-Time (Salaried),Shenandoah,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-toms-brook-shenandoah-virginia-united-states
Senior Design Engineer - Structure and Bridge,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-design-engineer-structure-and-bridge-richmond-virginia-united-states
Accounting Manager,Full-Time (Salaried),Henrico,Mar 1 2023 at 23:55 EST,Department of Fire Programs,https://www.jobs.virginia.gov/jobs/accounting-manager-henrico-virginia-united-states
Web Application Developer Analyst,Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/web-application-developer-analyst-richmond-virginia-united-states
Highway Maintenance Supervisor,Full-Time (Salaried),Wythe,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-bristol-virginia-united-states-wythe
Fiscal Technician Senior - CF275,Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,Department of Forensic Science,https://www.jobs.virginia.gov/jobs/fiscal-technician-senior-cf275-richmond-virginia-united-states
Financial Manager,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/financial-manager-richmond-virginia-united-states
Probation Supervisor,Full-Time (Salaried),Winchester,Mar 1 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-supervisor-winchester-virginia-united-states
Attorney - Assistant Public Defender I/II - Chesterfield,Full-Time (Salaried),Chesterfield,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-chesterfield-chesterfield-virginia-united-states
"Vocational Rehabilitation Counselor / Trainee - #ARS00752, ARS00034",Full-Time (Salaried),Roanoke County,Mar 3 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-trainee-ars00752-ars00034-roanoke-county-virginia-united-states
Mitigation Specialist - Suffolk,Full-Time (Salaried),Suffolk,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-suffolk-suffolk-virginia-united-states
Mitigation Specialist - Hampton,Full-Time (Salaried),Hampton,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-hampton-hampton-virginia-united-states
Maintenance Operator – Phenix AHQ,Full-Time (Salaried),"Charlotte Court House, Virginia",Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-phenix-ahq-charlottesville-virginia-united-states
Construction Engineer,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/construction-engineer-richmond-virginia-united-states
Legal Assistant - Virginia Beach,Full-Time (Salaried),Virginia Beach,Mar 2 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/legal-assistant-virginia-beach-virginia-beach-virginia-united-states
Office Services Specialist,Full-Time (Salaried),Richmond,Feb 25 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/office-services-specialist-richmond-virginia-united-states-1b4e579d-7960-41bb-90cb-b570fbeed92c
Engineer Structure and Bridge Inspection Moveable,Full-Time (Salaried),Suffolk,Mar 5 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-structure-and-bridge-inspection-moveable-suffolk-virginia-united-states
Telecommunications Technician Specialist,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Department of Taxation,https://www.jobs.virginia.gov/jobs/telecommunications-technician-specialist-richmond-virginia-united-states
Investigative Coordinator,Full-Time (Salaried),Richmond,Feb 23 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/investigative-coordinator-richmond-virginia-united-states
Veterinary Diagnostician/Laboratory Director (DVM Required) $10K Sign-On Bonus,Full-Time (Salaried),Lynchburg,Mar 16 2023 at 23:55 EDT,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/veterinary-diagnostician-laboratory-director-dvm-required-10k-sign-on-bonus-lynchburg-virginia-united-states
Assistant District Administrator Business,Full-Time (Salaried),Colonial Heights,Feb 24 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-district-administrator-business-colonial-heights-virginia-united-states
Legal and Regulatory Specialist,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/legal-and-regulatory-specialist-richmond-virginia-united-states
Staff Attorney/Supreme Court of Virginia/Office of the Chief Staff Attorney,Full-Time (Salaried),Richmond,Mar 31 2023 at 23:55 EDT,Supreme Court,https://www.jobs.virginia.gov/jobs/staff-attorney-richmond-virginia-united-states
Operator Traffic - NRO Sign Crew,Full-Time (Salaried),"Manassas
  Prince William",Mar 2 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/operator-traffic-nro-sign-crew-manassas-virginia-united-states
Senior Financial Internal Controls Coordinator,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/senior-financial-internal-controls-coordinator-richmond-virginia-united-states
Cemetery Caretaker Manager,Full-Time (Salaried),Suffolk,Mar 6 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/cemetery-caretaker-manager-richmond-virginia-united-states
Facilities Coordinator,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/facilities-coordinator-richmond-virginia-united-states-d6e56cc5-edfe-4b60-b4fa-27675b85e51f
Highway Maintenance Equipment Operator,Full-Time (Salaried),Bedford County,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-bedford-county-virginia-united-states
Human Resources Director,Full-Time (Salaried),Chesterfield,Mar 3 2023 at 23:55 EST,Dept of Emergency Management,https://www.jobs.virginia.gov/jobs/human-resources-director-chesterfield-virginia-united-states
Fiscal Technician Sr,Full-Time (Salaried),Petersburg,Feb 24 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/fiscal-technician-sr-petersburg-virginia-united-states
Accountant,Full-Time (Salaried),Petersburg,Feb 24 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/accountant-petersburg-virginia-united-states
Cognitive Counselor: P&P District #39 Harrisonburg #P3935,Full-Time (Salaried),"Harrisonburg
  Rockingham
  Staunton",Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-harrisonburg-virginia-united-states
Food Operations Supervisor: Cold Springs CCAP #01202,Full-Time (Salaried),"Augusta County
  Staunton",Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-greenville-virginia-united-states-5a3b9e95-1c45-4b1c-9258-e964fbc2c336
Registered Nurse - Virginia Correctional Center for Women,Full-Time (Salaried),"Goochland
  Richmond",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-goochland-virginia-united-states-7c4a38d2-4647-47e3-aec7-86755f15918c
Corrections Officer: River North Correctional Center #00211,Full-Time (Salaried),"Galax
  Goochland
  Pittsylvania",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-river-north-correctional-center-galax-virginia-united-states-pittsylvania-goochland
Mental Health Clinician I - Virginia Correctional Center for Women,Full-Time (Salaried),"Goochland
  Richmond",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-goochland-virginia-united-states
Roofing and Siding Instructor: Augusta Correctional Center #ED008,Full-Time (Salaried),"Outside of State
  Augusta County
  Bath
  Bedford
  Bedford County
  Buena Vista
  Covington
  Harrisonburg
  Lexington
  Rockbridge County
  Rockingham
  Stafford

            Outside of State
  Augusta County
  Bath",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/roofing-and-siding-instructor-craigsville-virginia-united-states
Licensed Practical Nurse - Virginia Correctional Center for Women,Full-Time (Salaried),"Goochland
  Richmond",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-goochland-virginia-united-states-3f190c99-badd-4e61-bad5-1ee5740cb327
Mental Health Clinician I - State Farm Complex,Full-Time (Salaried),"Goochland
  Powhatan",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-state-farm-virginia-united-states
Registered Nurse Coordinator - Fluvanna Correctional Center for Women,Full-Time (Salaried),Fluvanna,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-coordinator-troy-virginia-united-states
Licensed Practical Nurse - State Farm Complex,Full-Time (Salaried),"Goochland
  Richmond",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-state-farm-virginia-united-states
Registered Nurse Supervisor Senior - Fluvanna Correctional Center for Women,Full-Time (Salaried),"Charlottesville
  Fluvanna
  Louisa",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-troy-virginia-united-states
Registered Nurse - Fluvanna Correctional Center for Women,Full-Time (Salaried),"Charlottesville
  Fluvanna
  Louisa",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-troy-virginia-united-states-f7c8d8de-1089-4501-99ea-6306423aca78
Program Support Technician: (Operations) Green Rock Correctional Center #00078,Full-Time (Salaried),Pittsylvania,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-operations-chatham-virginia-united-states
Corrections Officer: (Patrol Canine) River North Correctional Center #00207,Full-Time (Salaried),Grayson,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-patrol-canine-river-north-correctional-center-00207-grayson-virginia-united-states
Probation Officer: Cold Springs CCAP #01198,Full-Time (Salaried),Augusta County,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-cold-springs-ccap-augusta-county-virginia-united-states
Hearing Officer: Green Rock Correctional Center #00091,Full-Time (Salaried),Pittsylvania,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/hearing-officer-green-rock-correctional-center-pittsylvania-virginia-united-states
Physician MD - Fluvanna Correctional Center for Women,Full-Time (Salaried),"Charlottesville
  Fluvanna
  Gordonsville
  Louisa
  Orange

            Charlottesville
  Fluvanna
  Gordonsville",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/physician-md-troy-virginia-united-states
Electrical Teacher: Keen Mountain Correctional Center #ED007,Full-Time (Salaried),"Outside of State
  Alleghany
  Bedford
  Bedford County
  Botetourt County
  Buchanan
  Lexington
  Roanoke
  Rockbridge County
  Salem

            Outside of State
  Alleghany
  Bedford",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/electrical-teacher-oakwood-virginia-united-states
Licensed Practical Nurse - Fluvanna Correctional Center for Women,Full-Time (Salaried),"Charlottesville
  Culpepper
  Fluvanna
  Gordonsville

            Charlottesville
  Culpepper
  Fluvanna",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-troy-virginia-united-states-ddb84495-b82e-4229-9433-aac1970bbb4e
Nursing Assistant (CNA) - Fluvanna Correctional Center for Women,Full-Time (Salaried),"Charlottesville
  Fluvanna
  Louisa",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/nursing-assistant-cna-troy-virginia-united-states
Mental Health Clinician I  - Coffeewood Correctional Center,Full-Time (Salaried),Culpepper,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-mitchells-virginia-united-states
Licensed Practical Nurse - Buckingham Correctional Center,Full-Time (Salaried),Buckingham,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-dillwyn-virginia-united-states-5482f0e7-8c89-45c9-a06f-a73ff9173cc1
Registered Nurse - Marion Correctional Center,Full-Time (Salaried),Smyth,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-marion-correctional-center-smyth-virginia-united-states
Registered Nurse - Green Rock Correctional Center,Full-Time (Salaried),Pittsylvania,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-green-rock-correctional-center-pittsylvania-virginia-united-states
Mental Health Clinician I -Keen Mountain Correctional Center,Full-Time (Salaried),Buchanan,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-oakwood-virginia-united-states
Dentist - River North Correctional Center,Full-Time (Salaried),Grayson,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/dentist-independence-virginia-united-states
Dentist - Keen Mountain Correctional Center,Full-Time (Salaried),Buchanan,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/dentist-oakwood-virginia-united-states
Assistant Chief Medical Examiner- Western OCME,Full-Time (Salaried),"Roanoke
  Roanoke County",,Department of Health,https://www.jobs.virginia.gov/jobs/assistant-chief-medical-examiner-western-ocme-roanoke-virginia-united-states-roanoke-county
Corrections Officer: Wallen's Ridge State Prison #00247,Full-Time (Salaried),"Wise, Virginia",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-big-stone-gap-virginia-united-states
Registered Nurse - Buckingham Correctional Center,Full-Time (Salaried),Buckingham,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-dillwyn-virginia-united-states-d3722def-fed5-4910-b07c-e49c379ec9a8
Registered Nurse - Bland Correctional Center,Full-Time (Salaried),Bland,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-bland-virginia-united-states
Roadway Design Engineer,Full-Time (Salaried),Salem,Mar 9 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/roadway-design-engineer-salem-virginia-united-states
Building and Grounds Superintendent B,Full-Time (Salaried),Richmond,,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/building-and-grounds-superintendent-b-richmond-virginia-united-states
Sr. Financial Compliance Analyst,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/sr-financial-compliance-analyst-richmond-virginia-united-states
Traffic Signals Engineer,Full-Time (Salaried),Prince William,Mar 1 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/traffic-signals-engineer-prince-william-virginia-united-states
HVAC Installation & Repair Supervisor: Greensville Correctional Center #01136,Full-Time (Salaried),Greensville,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/hvac-installation-repair-supervisor-greensville-correctional-center-greensville-virginia-united-states
DMV Customer Services Generalist Sr- District Floater 01232,Full-Time (Salaried),Washington,Feb 26 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/dmv-customer-services-generalist-sr-district-floater-01232-washington-virginia-united-states
Maintenance Operator (Front Royal AHQ),Full-Time (Salaried),Staunton,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-front-royal-ahq-staunton-virginia-united-states
Customer Service Generalists - Abingdon,Full-Time (Salaried),Washington,Feb 23 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/customer-service-generalists-abingdon-washington-virginia-united-states
Legal Assistant - Chesterfield,Full-Time (Salaried),Chesterfield,Feb 24 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/legal-assistant-chesterfield-chesterfield-virginia-united-states
MCSC Station Manager Stephen City,Full-Time (Salaried),Winchester,Feb 23 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/mcsc-station-manager-stephen-city-winchester-virginia-united-states
Customer Service Generalist - Martinsville 00642,Full-Time (Salaried),Martinsville,Feb 23 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/customer-service-generalist-martinsville-00642-martinsville-virginia-united-states
Customer Service Generalist - Covington 01703,Full-Time (Salaried),Covington,Feb 23 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/customer-service-generalist-covington-01703-covington-virginia-united-states
Probation Officer,Full-Time (Salaried),Manassas,Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-manassas-virginia-united-states
Probation Officer,Full-Time (Salaried),Manassas,Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-virginia-united-states-manassas
Area Land Use Engineer,Full-Time (Salaried),Fauquier County,Feb 23 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/area-land-use-engineer-fauquier-county-virginia-united-states
Office Services Specialist,Full-Time (Salaried),Buchanan,Mar 3 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-specialist-buchanan-virginia-united-states
System Administrator,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/system-administrator-richmond-virginia-united-states
PH Nurse,Full-Time (Salaried),Prince William,Mar 8 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/ph-nurse-prince-william-virginia-united-states
Engineer Supervisor Structure & Bridge Inspection,Full-Time (Salaried),Colonial Heights,Mar 1 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-supervisor-structure-bridge-inspection-colonial-heights-virginia-united-states
Park Ranger - Natural Bridge State Park,Full-Time (Salaried),Rockbridge County,Feb 28 2023 at 23:55 EST,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/park-ranger-natural-bridge-state-park-rockbridge-county-virginia-united-states
Scheduler,Full-Time (Salaried),Richmond,,Lieutenant Governor,https://www.jobs.virginia.gov/jobs/scheduler-richmond-virginia-united-states
Equipment Repair Technician I - Northern Neck,Full-Time (Salaried),Richmond County,Mar 1 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-i-northern-neck-richmond-county-virginia-united-states
Bridge Maintenance Crew Member Caroline & Middlesex,Full-Time (Salaried),Caroline,Mar 1 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/bridge-maintenance-crew-member-caroline-middlesex-caroline-virginia-united-states
Spanish Language Court Interpreter - Fauquier,Full-Time (Salaried),Fauquier County,,Supreme Court,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fauquier-fauquier-county-virginia-united-states
Benefits Assistant,Full-Time (Salaried),North Chesterfield,Mar 1 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/benefits-assistant-north-chesterfield-virginia-united-states
"Program Manager, Office of Agriculture & Forestry Development",Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/program-manager-office-of-agriculture-forestry-development-richmond-virginia-united-states
Office Services Specialist: Indian Creek Ctr #00161,Full-Time (Salaried),Chesapeake,Mar 1 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-specialist-indian-creek-ctr-00161-chesapeake-virginia-united-states
Application Programmer/Analyst Senior ($5000.00 Sign On Bonus),Full-Time (Salaried),Richmond,Mar 7 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/application-programmer-analyst-senior-5000-00-sign-on-bonus-richmond-virginia-united-states
Storekeeper Supervisor:  Indian Creek Correctional Ctr #00325,Full-Time (Salaried),Chesapeake,Mar 1 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/storekeeper-supervisor-indian-creek-correctional-ctr-00325-chesapeake-virginia-united-states
VRO - P0170 - VWP Specialist,Full-Time (Salaried),Harrisonburg,Mar 1 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/vro-p0170-vwp-specialist-harrisonburg-virginia-united-states
