Title,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link
Area Forester-Five Forks District,Full-Time (Salaried),NA,"Starting at $40,000.00+ with benefits",General Public - G,Closed,2023-03-03T23:55:00Z,Dinwiddie,Eastern Office Dinwiddie,https://www.jobs.virginia.gov/jobs/area-forester-five-forks-district-dinwiddie-virginia-united-states-da2f1a39-b3b2-48ce-bfe0-2d1efcf97b55
Area Forester-Five Forks District,Full-Time (Salaried),NA,"Starting at $40,000.00+ with benefits",General Public - G,Closed,2023-03-03T23:55:00Z,Dinwiddie,Eastern Office Dinwiddie,https://www.jobs.virginia.gov/jobs/area-forester-five-forks-district-dinwiddie-virginia-united-states
Forest Technician-Capital District,Full-Time (Salaried),NA,"Starting at $33,000.00+ with benefits",General Public - G,Closed,2023-02-24T23:55:00Z,New Kent,Eastern Office New Kent,https://www.jobs.virginia.gov/jobs/forest-technician-capital-district-new-kent-virginia-united-states
Park Ranger Maintenance - Westmoreland State Park,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Westmoreland,NA,https://www.jobs.virginia.gov/jobs/park-ranger-maintenance-westmoreland-state-park-westmoreland-virginia-united-states
Communications Specialist Senior,Full-Time (Salaried),NA,"$60,568 - $98,423",General Public - G,Closed,2023-02-24T23:55:00Z,Colonial Heights,Richmond District Office,https://www.jobs.virginia.gov/jobs/communications-specialist-senior-colonial-heights-virginia-united-states
Probation Officer,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Harrisonburg,NA,https://www.jobs.virginia.gov/jobs/probation-officer-harrisonburg-virginia-united-states-291d85b0-3797-4722-ba3d-55acf1baf08d
Eng Sr Project Mgmt,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,"Roanoke
  Roanoke County
  Salem",NA,https://www.jobs.virginia.gov/jobs/eng-sr-project-mgmt-roanoke-virginia-united-states-roanoke-county-salem
Equipment Repair Technician I - Saluda,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Middlesex,NA,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-i-saluda-middlesex-virginia-united-states
Operator Structure and Bridge,Full-Time (Salaried),NA,36400-50000,General Public - G,Closed,2023-02-24T23:55:00Z,Montgomery County,Ironto Sub-AHQ,https://www.jobs.virginia.gov/jobs/operator-structure-and-bridge-montgomery-county-virginia-united-states
Maintenance Crew Leader,Full-Time (Salaried),NA,36218-55000,General Public - G,Closed,2023-02-24T23:55:00Z,Botetourt County,Troutville AHQ,https://www.jobs.virginia.gov/jobs/maintenance-crew-leader-botetourt-county-virginia-united-states
Maintenance Supervisor,Full-Time (Salaried),NA,41886-60000,General Public - G,Closed,2023-02-24T12:30:00Z,Botetourt County,Troutville AHQ,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-botetourt-county-virginia-united-states
Area Forester-Mountain Valley District,Full-Time (Salaried),NA,"Starting at $40,000.00 with benefits",General Public - G,Closed,2023-03-03T23:55:00Z,Rockbridge County,Western Office Augusta,https://www.jobs.virginia.gov/jobs/area-forester-mountain-valley-district-rockbridge-county-virginia-united-states
Maintenance Operator - Shipman AHQ,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Closed,2023-02-24T23:55:00Z,Nelson,Shipman AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-shipman-ahq-nelson-virginia-united-states
Water Quality Specialist,Full-Time (Salaried),NA,"Starting at $38,894.00+ with benefits",General Public - G,Closed,2023-03-03T00:00:00Z,"Bland
  Carroll
  Grayson
  Tazewell
  Wythe

            Bland
  Carroll
  Grayson",Western Office Galax,https://www.jobs.virginia.gov/jobs/water-quality-specialist-virginia-united-states-bland-carroll-grayson-tazewell-wythe
Human Resource Consultant Senior,Full-Time (Salaried),NA,"$69,964 - $90,000",General Public - G,Closed,2023-02-26T23:55:00Z,Suffolk,Hampton Roads District Office,https://www.jobs.virginia.gov/jobs/human-resource-consultant-senior-suffolk-virginia-united-states
District Forester-Blackwater District,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,"Accomac
  Chesapeake
  Isle Of Wight
  Norfolk
  Northampton
  Portsmouth
  Southampton
  Suffolk
  Surry
  Sussex
  Virginia Beach

            Accomac
  Chesapeake
  Isle Of Wight",NA,https://www.jobs.virginia.gov/jobs/district-forester-blackwater-district-accomack-county-virginia-united-states-chesapeake-isle-of-wight-norfolk-northampton-portsmouth-southampton-suffolk-surry-sussex-virginia-beach
"Maintenance Superintendent, Specialty Crew - Williamsburg Residency",Full-Time (Salaried),4,"$63,000 - $84,000",General Public - G,Closed,2023-02-26T23:55:00Z,Williamsburg,Williamsburg Residency,https://www.jobs.virginia.gov/jobs/maintenance-superintendent-specialty-crew-williamsburg-residency-williamsburg-virginia-united-states
Construction Inspector,Full-Time (Salaried),NA,"$47,238 - $55,000",General Public - G,Closed,2023-02-26T23:55:00Z,Chesapeake,Interstate Management Office,https://www.jobs.virginia.gov/jobs/construction-inspector-chesapeake-virginia-united-states
Ferry Instructor,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Surry,NA,https://www.jobs.virginia.gov/jobs/ferry-instructor-outside-of-state-q-z-radford-virginia-united-states-rappahannock-richmond-richmond-county-roanoke-roanoke-county-rockbridge-county-rockingham-russell-salem-scott-shenandoah-s
Corrections Officer: Indian Creek Correctional Center,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Chesapeake,Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-chesapeake-virginia-united-states-058fc458-5d58-45cf-bf33-37f492f3486b
Electrician Supervisor: Indian Creek Correctional Center,Full-Time (Salaried),NA,"$43,659 - $68,108",General Public - G,Open,NA,"Chesapeake
  Dinwiddie
  Emporia
  Franklin County
  Hampton
  Newport News
  Norfolk
  Suffolk

            Chesapeake
  Dinwiddie
  Emporia",Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/electrician-supervisor-chesapeake-virginia-united-states
Food Operations Supervisor (Multiple Vacancies): Indian Creek Correctional Center,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Open,NA,"Chesapeake
  Hampton
  Norfolk
  Portsmouth
  Suffolk

            Chesapeake
  Hampton
  Norfolk",Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-multiple-vacancies-chesapeake-virginia-united-states
HVAC Installation & Repair Supervisor: Indian Creek Correctional Center,Full-Time (Salaried),NA,"$46,305 - $72,236",General Public - G,Open,NA,"Chesapeake
  Dinwiddie
  Emporia
  Hampton
  Newport News
  Norfolk
  Petersburg
  Suffolk
  Sussex

            Chesapeake
  Dinwiddie
  Emporia",Indian Creek Correctional Ctr,https://www.jobs.virginia.gov/jobs/hvac-installation-repair-supervisor-chesapeake-virginia-united-states
Corrections Officer (Patrol Canine/Multiple Positions): Sussex I and II State Prison Complex,Full-Time (Salaried),NA,"$43,915 - $71,370",General Public - G,Open,NA,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/corrections-officer-patrol-canine-multiple-positions-waverly-virginia-united-states
Food Operations Supervisor (Multiple Positions): Sussex I and II State Prison Complex,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Open,NA,Sussex,Sussex II State Prison,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-multiple-positions-waverly-virginia-united-states
Corrections Sergeant (Multiple Vacancies): Sussex I and II State Prison Complex,Full-Time (Salaried),NA,"$48,516 - $82,732",Agency Employee Only - A,Open,NA,Sussex,Sussex II State Prison,https://www.jobs.virginia.gov/jobs/corrections-sergeant-multiple-vacancies-waverly-virginia-united-states
Recreation Supervisor: Sussex I and II State Prison Complex,Full-Time (Salaried),NA,"$34,818 - $54,317",General Public - G,Open,NA,Sussex,Sussex II State Prison,https://www.jobs.virginia.gov/jobs/recreation-supervisor-waverly-virginia-united-states
Storekeeper Senior: Sussex I and II State Prison Complex,Full-Time (Salaried),NA,"$29,772 - $46,444",General Public - G,Open,NA,Sussex,Sussex I State Prison,https://www.jobs.virginia.gov/jobs/storekeeper-senior-waverly-virginia-united-states
University Counsel/ Senior Assistant Attorney General (Radford),Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Radford,RADFORD,https://www.jobs.virginia.gov/jobs/associate-university-counsel-assistant-attorney-general-radford-radford-virginia-united-states
Mitigation Specialist - Chesterfield,Full-Time (Salaried),NA,"$52,990.00 + State Benefits",General Public - G,Closed,2023-02-28T23:55:00Z,Chesterfield,CHESTERFIELD 326,https://www.jobs.virginia.gov/jobs/mitigation-specialist-chesterfield-chester-virginia-united-states
Office Manager (Administrative) - Chesterfield,Full-Time (Salaried),NA,"$44,095.00 + State Benefits",General Public - G,Closed,2023-02-28T23:55:00Z,Chesterfield,CHESTERFIELD 326,https://www.jobs.virginia.gov/jobs/office-manager-administrative-chesterfield-chester-virginia-united-states
Recruiter,Full-Time (Salaried),NA,"$43,500",General Public - G,Closed,2023-02-24T23:55:00Z,Virginia Beach,Commonwealth Challenge,https://www.jobs.virginia.gov/jobs/recruiter-chesapeake-virginia-united-states-gloucester-hampton-isle-of-wight-portsmouth-suffolk-surry-sussex-virginia-beach-williamsburg-york
Environmental Health Specialist Sr.,Full-Time (Salaried),NA,"$41,475 - $53,478",General Public - G,Closed,2023-02-24T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-petersburg-virginia-united-states
Office Services Specialist,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Louisa,NA,https://www.jobs.virginia.gov/jobs/office-services-specialist-louisa-virginia-united-states
Office Services Specialist,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Charlottesville,NA,https://www.jobs.virginia.gov/jobs/office-services-specialist-charlottesville-virginia-united-states
Public Health Nurse,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Nelson,NA,https://www.jobs.virginia.gov/jobs/public-health-nurse-nelson-virginia-united-states
Highway Maintenance Worker,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,Bristol,Abingdon Residency,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states-3fb02579-33c4-4835-a0a6-2e35c97a5c93
Highway Maintenance Worker,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,"Bland
  Bristol
  Wythe",Wytheville Residency,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states-bland-wythe
Highway Maintenance Worker,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,"Bristol
  Wise, Virginia",Wise Residency,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states-wise-virginia
Highway Maintenance Worker,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,NA,Lebanon AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states
GED/ISAEP Teacher,Full-Time (Salaried),NA,NA,NA,Open,NA,Chesterfield,NA,https://www.jobs.virginia.gov/jobs/ged-isaep-teacher-richmond-virginia-united-states
Driving Instructor - #WWRW0316,Full-Time (Salaried),4,"Maximum Salary $65,000",General Public - G,Open,NA,Augusta County,Wilson Wkfc Rehab Ctn,https://www.jobs.virginia.gov/jobs/driving-instructor-wwrw0316-fishersville-virginia-united-states
District Mental Health Clinician (District #40 Fincastle P&P),Full-Time (Salaried),NA,"$55,125 - $77,175",General Public - G,Open,NA,Botetourt County,Fincastle P&P,https://www.jobs.virginia.gov/jobs/district-mental-health-clinician-district-40-fincastle-p-p-fincastle-virginia-united-states
Corrections Officer,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Richmond County
  Spotsylvania
  Stafford
  Westmoreland

            Richmond County
  Spotsylvania
  Stafford",Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-haynesville-virginia-united-states
Deputy Clerk - Wythe,Full-Time (Salaried),NA,"negotiable to 35,923",General Public - G,Closed,2023-02-24T23:55:00Z,Wythe,J&DR Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-wythe-richmond-virginia-united-states
Mathematics Instructor,Full-Time (Salaried),NA,"$48,000",General Public - G,Closed,2023-02-28T23:55:00Z,Virginia Beach,Commonwealth Challenge,https://www.jobs.virginia.gov/jobs/mathematics-instructor-va-beach-virginia-united-states
Forest Technician-New River District,Full-Time (Salaried),NA,"Starting at $33,000.00+ with benefits",General Public - G,Closed,2023-03-03T23:55:00Z,Wythe,"Charlottesville, Nat Resrcs Dr",https://www.jobs.virginia.gov/jobs/forest-technician-new-river-district-charlottesville-virginia-united-states-138e75d1-3181-4fdd-8668-7614fcc472b0
Weights and Measures Large Capacity Scale Inspector,Full-Time (Salaried),NA,"$38,894 - $57,750",General Public - G,Closed,2023-02-24T23:55:00Z,"Alexandria
  Arlington
  Caroline
  Clarke, Virginia
  Culpepper
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Fredericksburg
  Greene
  Harrisonburg
  King George
  Loudoun County
  Madison
  Manassas
  Northumberland
  Orange
  Page
  Prince William
  Rappahannock
  Richmond County
  Rockingham
  Shenandoah
  Spotsylvania
  Stafford
  Warren
  Westmoreland
  Winchester

            Alexandria
  Arlington
  Caroline",Fredericksburg Territory,https://www.jobs.virginia.gov/jobs/weights-and-measures-large-capacity-scale-inspector-fredericksburg-virginia-united-states
Chief Ranger - Visitor Experience - Shenandoah River State Park,Full-Time (Salaried),NA,"$35,370 - $60,289",General Public - G,Closed,2023-02-27T23:55:00Z,Warren,Shenandoah River State Park,https://www.jobs.virginia.gov/jobs/chief-ranger-visitor-experience-shenandoah-river-state-park-bentonville-virginia-united-states
Registered Nurse,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Sussex,Sussex State Prison Complex,https://www.jobs.virginia.gov/jobs/registered-nurse-waverly-virginia-united-states
Direct Service Associate I (Health Services-Medical Housekeeping),Full-Time (Salaried),NA,"$27,518 - $38,984",General Public - G,Open,NA,Sussex,Sussex State Prison Complex,https://www.jobs.virginia.gov/jobs/direct-service-associate-i-health-services-medical-housekeeping-waverly-virginia-united-states
Maintenance Operator - (Franklin Residency),Full-Time (Salaried),NA,"$35,489 - $44,361",General Public - G,Closed,2023-02-26T23:55:00Z,"Franklin
  Isle Of Wight
  Southampton
  Sussex

            Franklin
  Isle Of Wight
  Southampton",Capron AHQ and Smithfield AHQ's,https://www.jobs.virginia.gov/jobs/maintenance-operator-franklin-residency-capron-virginia-united-states
"Vocational Rehabilitation Counselor / Trainee (RCD) - ($2,500 Sign-On Bonus)",Full-Time (Salaried),NA,Please see notation within job description,General Public - G,Open,NA,"Roanoke County
  Washington",Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-trainee-rcd-2-500-sign-on-bonus-henrico-virginia-united-states
Director of Infection Control,Full-Time (Salaried),NA,"$70,000 - $80,000",General Public - G,Closed,2023-02-25T23:55:00Z,"Albemarle County
  Culpepper
  Fauquier County
  Fredericksburg
  Orange
  Prince William
  Rappahannock
  Spotsylvania
  Stafford

            Albemarle County
  Culpepper
  Fauquier County",Vint Hill Center,https://www.jobs.virginia.gov/jobs/director-of-infection-control-warrenton-virginia-united-states
Deputy Clerk - Prince William,Full-Time (Salaried),NA,"negotiable to 43,259",General Public - G,Open,NA,Prince William,Prince William Gen Dist Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-prince-william-manassas-virginia-united-states
Vietnamese Language Court Interpreter - Prince William,Full-Time (Salaried),NA,"negotiable to $62,000",General Public - G,Open,NA,Prince William,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/vietnamese-language-court-interpreter-prince-william-richmond-virginia-united-states
Senior Assistant Public Defender / Senior Trial Attorney - Prince William,Full-Time (Salaried),NA,"$85,597.00 + State Benefits",General Public - G,Closed,2023-02-24T23:55:00Z,Prince William,PRINCE WILLIAM 311,https://www.jobs.virginia.gov/jobs/senior-assistant-public-defender-senior-trial-attorney-prince-william-manassas-virginia-united-states-a764cc81-8749-47fd-9c77-ad1221052206
Attorney - Assistant Public Defender I/II - Prince William,Full-Time (Salaried),NA,NA,NA,Closed,2023-02-23T23:55:00Z,Prince William,NA,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-prince-william-manassas-virginia-united-states
Plumber/Steamfitter,Full-Time (Salaried),NA,"$45,000-$50,000",General Public - G,Closed,2023-02-24T23:55:00Z,Nottoway,Dept� of Military Affairs,https://www.jobs.virginia.gov/jobs/plumber-steamfitter-blackstone-virginia-united-states
Dental Hygienist,Full-Time (Salaried),NA,"$54,023 - $84,275",General Public - G,Open,NA,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/dental-hygienist-burkeville-virginia-united-states
Registered Nurse,Full-Time (Salaried),NA,"$71,000 - $91,007",General Public - G,Open,NA,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-burkeville-virginia-united-states-94062040-e219-4535-bb25-985dbc05f81f
Licensed Practical Nurse,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,Nottoway,Sussex State Prison Complex,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-burkeville-virginia-united-states-d62d1ff5-d1b3-4f30-a53e-04a723c0ddc4
Human Resources Officer,Full-Time (Salaried),NA,"$63,000 - $88,597",General Public - G,Open,NA,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/human-resources-officer-burkeville-virginia-united-states
Mental Health Clinician I,Full-Time (Salaried),NA,"$55,125 - $77,175",General Public - G,Open,NA,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-burkeville-virginia-united-states
Corrections Officer: St. Brides Correctional Center,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Chesapeake,St. Brides Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-chesapeake-virginia-united-states
Deputy Clerk - King William,Full-Time (Salaried),NA,"negotiable to 35,923",General Public - G,Open,NA,King William,King William County Territory,https://www.jobs.virginia.gov/jobs/deputy-clerk-king-william-aylett-virginia-united-states
Forest Technician-New River District,Full-Time (Salaried),NA,"Starting at $33,000.00+ with benefits",General Public - G,Closed,2023-03-03T23:55:00Z,Henry,"Charlottesville, Nat Resrcs Dr",https://www.jobs.virginia.gov/jobs/forest-technician-new-river-district-charlottesville-virginia-united-states
Attorney - Assistant Public Defender I/II - Southwest Virginia Offices,Full-Time (Salaried),NA,"$58,492.00 / $67,052.00 + State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,"Bedford County
  Danville
  Halifax
  Martinsville
  Pulaski
  Roanoke

            Bedford County
  Danville
  Halifax",Multiple Locations,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-southwest-virginia-offices-martinsville-virginia-united-states
Dentist,Full-Time (Salaried),NA,"$115,500 - $189,277",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/dentist-jarratt-virginia-united-states
Attorney - Assistant Public Defender I - Bedford,Full-Time (Salaried),NA,"$58,492.00 + State Benefits",General Public - G,Closing soon,2023-03-07T23:55:00Z,Bedford County,BEDFORD 312,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-bedford-bedford-virginia-united-states
Magistrate - Loudoun,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Closed,2023-02-24T23:55:00Z,Loudoun County,Loudoun Magistrates' Office,https://www.jobs.virginia.gov/jobs/magistrate-loudoun-leesburg-virginia-united-states
Spanish Language Court Interpreter - Prince William,Full-Time (Salaried),NA,"negotiable to 65,000",General Public - G,Open,NA,Fairfax,Fairfax City Gen Dist Court,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fairfax-fairfax-virginia-united-states
Attorney - Assistant Public Defender I/II - Roanoke,Full-Time (Salaried),NA,"$58,492.00 / $67,052.00 + State Benefits",General Public - G,Closing soon,2023-03-08T23:55:00Z,Roanoke,ROANOKE 303,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-roanoke-roanoke-virginia-united-states
Staff Occupational Therapist - #WWRW0116,Full-Time (Salaried),5,"Maximum Salary $80,000",General Public - G,Closed,2023-02-24T23:55:00Z,Augusta County,Wilson Wkfc Rehab Ctn,https://www.jobs.virginia.gov/jobs/staff-occupational-therapist-wwrw0116-fishersville-virginia-united-states
Public Health Nurse,Full-Time (Salaried),NA,"$49,000-$50,000",General Public - G,Open,NA,Montgomery County,NEW RIVER HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-christiansburg-virginia-united-states
Attorney - Assistant Public Defender I - Suffolk,Full-Time (Salaried),NA,"$58,492.00 + State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,Suffolk,SUFFOLK 314,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-suffolk-suffolk-virginia-united-states
Magistrate - Lynchburg,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Closed,2023-02-24T23:55:00Z,Lynchburg,Lynchburg City,https://www.jobs.virginia.gov/jobs/magistrate-lynchburg-lynchburg-virginia-united-states
Dental Hygienist,Full-Time (Salaried),NA,38894 - 60000,General Public - G,Closed,2023-02-26T23:55:00Z,"Wise, Virginia",LENOWISCO HQ,https://www.jobs.virginia.gov/jobs/dental-hygienist-wise-virginia-united-states
Attorney - Assistant Public Defender I/II - Pulaski,Full-Time (Salaried),NA,"$58,492.00 / $67,052.00 + State Benefits",General Public - G,Closed,2023-02-28T23:55:00Z,Pulaski,PULASKI 310,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-pulaski-pulaski-virginia-united-states
Poultry Grader - Night Shift,Full-Time (Salaried),4,"up to $50,000 annually",General Public - G,Closed,2023-02-27T23:55:00Z,Danville,Danville,https://www.jobs.virginia.gov/jobs/poultry-grader-night-shift-danville-virginia-united-states
Group Violence Intervention (GVI) Coordinator. Programs/Major Crimes &Emerging Threats Section- Southwest Virginia (OAG00663),Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Roanoke,WESTERN,https://www.jobs.virginia.gov/jobs/group-violence-intervention-gvi-coordinator-programs-major-crimes-emerging-threats-section-southwest-virginia-oag00663-roanoke-virginia-united-states
Group Violence Intervention (GVI) Coordinator. Programs/Major Crimes &Emerging Threats Section- Hampton Roads (OAG00662),Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Hampton,Hampton Roads District Office,https://www.jobs.virginia.gov/jobs/group-violence-intervention-gvi-coordinator-programs-major-crimes-emerging-threats-section-hampton-roads-oag00662-suffolk-virginia-united-states
Senior Investment Analyst,Full-Time (Salaried),NA,"$115,000 -$135,000",General Public - G,Open,2023-03-10T23:55:00Z,Chesterfield,Arboretum North Chesterfield,https://www.jobs.virginia.gov/jobs/senior-investment-analyst-north-chesterfield-virginia-united-states-65297899-d05e-4c5b-aff4-f3ce636aace6
Engineer Structure and Bridge,Full-Time (Salaried),NA,"$67,646 - $109,925",General Public - G,Open,NA,Staunton,"Staunton, Commerce Rd",https://www.jobs.virginia.gov/jobs/engineer-structure-and-bridge-staunton-virginia-united-states
CSU Director,Full-Time (Salaried),NA,"commensurate up to $95,000",General Public - G,Open,NA,Charlottesville,16th Dist. CSU Charlottesville,https://www.jobs.virginia.gov/jobs/csu-director-charlottesville-virginia-united-states
Attorney - Assistant Public Defender I/II - Tidewater Virginia Offices,Full-Time (Salaried),NA,"$58,492.00 / $67,052.00 + State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,"Chesapeake
  Franklin
  Hampton
  Newport News
  Portsmouth
  Suffolk

            Chesapeake
  Franklin
  Hampton",Multiple Locations,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-tidewater-virginia-offices-portsmouth-virginia-united-states
Campus Life Associate Recreation Therapist - #WWRW0084,Full-Time (Salaried),NA,"Starting Salary $40,000 Commensurate with experience",General Public - G,Open,NA,Augusta County,Wilson Wkfc Rehab Ctn,https://www.jobs.virginia.gov/jobs/campus-life-associate-recreation-therapist-wwrw0084-fishersville-virginia-united-states
Maintenance Operator,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,Rockbridge County,Fairfield AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-fairfield-virginia-united-states
Bridge Maintenance Operator,Full-Time (Salaried),NA,"$36,400 - $59,150",General Public - G,Open,NA,Augusta County,Verona BRIDGE,https://www.jobs.virginia.gov/jobs/bridge-maintenance-operator-verona-united-states
Maintenance Operator (Stephens City),Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,Fredericksburg,Stephens City AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-stephens-city-stephens-city-virginia-united-states-1c19b123-fe21-4aa7-b813-227982c161ec
Maintenance Operator,Full-Time (Salaried),NA,"$33,005 - $53,633",General Public - G,Open,NA,"Augusta County
  Staunton",Fishersville AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-fishersville-virginia-united-states
Contract Closeout Specialist CMS /Chester - BVIIS099,Full-Time (Salaried),NA,"Minimum starting salary $43,779",General Public - G,Open,NA,Chesterfield,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/contract-closeout-specialist-cms-chester-bviis099-richmond-virginia-united-states
Placement Counselor - #ARS00475,Full-Time (Salaried),NA,"Minimum starting salary at $44,100 commensurate with experience",General Public - G,Open,NA,Petersburg,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/placement-counselor-ars00475-henrico-virginia-united-states
Police Officer,Full-Time (Salaried),NA,"Up to mid $50,000",General Public - G,Open,NA,Augusta County,Wilson Workforce & Rehab Ctr,https://www.jobs.virginia.gov/jobs/police-officer-fishersville-virginia-united-states
Attorney - Assistant Public Defender I/II - Central Virginia Offices,Full-Time (Salaried),NA,"$58,492.00 / $67,052.00 + State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,Lynchburg,Multiple Locations,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-central-virginia-offices-lynchburg-virginia-united-states
Deputy Clerk - Fairfax County - Court Operations,Full-Time (Salaried),NA,"negotiable to 43,259 + 15% County Supplement",General Public - G,Open,NA,Fairfax County,Fairfax County Gen Dist Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-fairfax-county-court-operations-fairfax-virginia-united-states
Deputy Clerk - Fairfax County,Full-Time (Salaried),NA,"negotiable to 43,259 + 15% County Stipend",General Public - G,Open,NA,Fairfax County,Fairfax County Gen Dist Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-fairfax-county-fairfax-virginia-united-states
Human Resources Officer,Full-Time (Salaried),NA,"$63,000 - $88,597",General Public - G,Open,NA,Tazewell,Pocahontas State Corr Ctr,https://www.jobs.virginia.gov/jobs/human-resources-officer-pocahontas-virginia-united-states
Certification and Training Assistant,Full-Time (Salaried),NA,"$44,100 + State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,Henrico,ADMINISTRATIVE OFFICE 200,https://www.jobs.virginia.gov/jobs/certification-and-training-assistant-richmond-virginia-united-states
Production Supervisor - #IT006,Full-Time (Salaried),NA,"Salary Range $42,000 - $56,930",General Public - G,Open,NA,Charlottesville,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/production-supervisor-it006-richmond-virginia-united-states
