Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Public Health Nurse Sr.,Department of Health,Full-Time (Salaried),NA,"$68,250 - $75,252",General Public - G,Open,2023-03-10T23:55:00Z,Greensville,CRATER-GREENSVILLE/EMPORIA,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-greensville-virginia-united-states,2023-02-23
Public Health Nurse Sr.,Department of Health,Full-Time (Salaried),NA,"$68,250 - $75,252",General Public - G,Open,2023-03-10T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states,2023-02-23
Business Manager C (ALX),Department of Health,Full-Time (Salaried),NV 5,"$100,000-$142,689",General Public - G,Open,2023-03-13T23:55:00Z,Alexandria,Alexandria HQ,https://www.jobs.virginia.gov/jobs/business-manager-c-alx-alexandria-virginia-united-states,2023-02-23
Public Health Nurse Sr.,Department of Health,Full-Time (Salaried),NA,"$68,250 - $75,252",General Public - G,Open,2023-03-10T23:55:00Z,Prince George,CRATER-PRINCE GEORGE,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-prince-george-virginia-united-states,2023-02-23
RN Weekend Shift Supervisor,Department of Veterans Services,Full-Time (Salaried),NA,$40.00-$41.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-weekend-shift-supervisor-virginia-beach-virginia-united-states,2023-02-23
Regulatory Compliance Specialist,Virginia State Bar,Full-Time (Salaried),NA,"$40,000",General Public - G,Open,NA,Richmond,Virginia State Bar,https://www.jobs.virginia.gov/jobs/regulatory-compliance-specialist-richmond-virginia-united-states,2023-02-23
Benefits Administrator,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $55,000",General Public - G,Open,NA,"North Chesterfield
  Richmond",Central Office,https://www.jobs.virginia.gov/jobs/benefits-administrator-north-chesterfield-virginia-united-states-richmond,2023-02-23
Registered Nurse,Department of Veterans Services,Full-Time (Salaried),NA,$37.00-$38.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/registered-nurse-virginia-beach-virginia-united-states,2023-02-23
Certified Nursing Assistant,Department of Veterans Services,Full-Time (Salaried),NA,$19.00-21.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/certified-nursing-assistant-virginia-beach-virginia-united-states,2023-02-23
"Regional Marketing Specialist (food, agricultural and specialty crop products)",Agriculture & Consumer Svcs,Full-Time (Salaried),NA,"Up to $75,600 annually",General Public - G,Open,2023-03-10T23:55:00Z,"Accomac
  Northampton
  Virginia Beach",EASTERN SHORE or VIRGINIA BEACH,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-specialty-crop-products-accomac-virginia-united-states-northampton-virginia-beach,2023-02-23
RN 11-7 Shift Relief Supervisor,Department of Veterans Services,Full-Time (Salaried),NA,$40.00-$41.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-11-7-shift-relief-supervisor-virginia-beach-virginia-united-states,2023-02-23
RN 3-11 Shift Relief Supervisor,Department of Veterans Services,Full-Time (Salaried),NA,$40.00-$41.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-3-11-shift-relief-supervisor-virginia-beach-virginia-united-states,2023-02-23
Housekeeper,Department of Veterans Services,Full-Time (Salaried),NA,"$24,960.00 $29,000.00",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/day-porter-float-virginia-beach-virginia-united-states,2023-02-23
Human Resources Analyst,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/human-resource-analyst-richmond-virginia-united-states-ca202b8d-70a2-4252-bd02-a23ad2133681,2023-02-23
Nutrition Services Aide,Department of Veterans Services,Full-Time (Salaried),NA,"$33,280 - $39,520",General Public - G,Open,NA,Richmond,Sitter-Barfoot Veterans Care,https://www.jobs.virginia.gov/jobs/nutrition-services-aide-richmond-virginia-united-states,2023-02-23
Corrections Officer - State Farm Correctional Complex,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Goochland
  Richmond",State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-state-farm-virginia-united-states-809beb00-b44a-4b84-946a-5d35777d5d32,2023-02-23
Systems Analyst - Advanced #W5165,Department of Social Services,Full-Time (Salaried),NA,"Up to $114,768/yr. (salary commensurate with experience)",General Public - G,Open,NA,Richmond,Dept of Social Services,https://www.jobs.virginia.gov/jobs/systems-analyst-advanced-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Transportation Section (OAG00485)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Criminal Litigation Section (OAG00541)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-e4de1b25-a0b0-4d12-9d69-1410d774e51a,2023-02-23
"Assistant Attorney General, Computer Crimes Section (OAG00444)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-82d53b20-7c25-4492-ac27-21c020921972,2023-02-23
"Assistant Attorney General, Health Professions Section (OAG00279)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-99024962-ba6c-4809-a939-3bf8a407488c,2023-02-23
"Assistant Attorney General, Health Professions Section (OAG00076)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-9fc3bd42-fda2-443d-bb5d-bb1ff83c36a0,2023-02-23
"Assistant Attorney General, Environmental Section (OAG00217)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-0ff73833-3799-4ed5-82e3-72cf7b5506c3,2023-02-23
"Assistant Attorney General, Environmental Section (OAG00103)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-9e563908-9d2a-4c1c-879e-1a0cbb3100ea,2023-02-23
Assistant Attorney General / Technology & Procurement Law Section,Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-technology-procurement-law-section-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General III, Real Estate & Land Use Section (OAG00113)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-iii-richmond-virginia-united-states,2023-02-23
"Paralegal, Insurance & Utilities Regulatory Section (OAG00123)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/paralegal-insurance-utilities-regulatory-section-richmond-virginia-united-states-6315e9e3-10b7-4556-8bb9-1c03963d0aab,2023-02-23
Director of Victim Services (OAG00205),Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/director-of-victim-services-richmond-virginia-united-states,2023-02-23
Senior IT Management Analyst (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,"$90,000 - $105,000",General Public - G,Open,NA,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/senior-it-management-analyst-hybrid-richmond-virginia-united-states,2023-02-23
Senior Employer Confirmation Analyst (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,"$55,000 - $67,000",General Public - G,Open,NA,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/senior-employer-confirmation-analyst-hybrid-richmond-virginia-united-states,2023-02-23
Purchase of Prior Service Supervisor (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,NA,NA,Open,NA,Richmond,NA,https://www.jobs.virginia.gov/jobs/purchase-of-prior-service-supervisor-hybrid-richmond-virginia-united-states,2023-02-23
Licensed Practical Nurse,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$55,000 - $71,370",General Public - G,Open,NA,"Richmond
  Sussex",Sussex State Prison Complex,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-waverly-virginia-united-states,2023-02-23
SharePoint Administrator - 00016,Department of General Services,Full-Time (Salaried),NA,"$80,000 - $100,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/sharepoint-administrator-00016-richmond-virginia-united-states,2023-02-23
Licensed Practical Nurse (LPN),Department of Veterans Services,Full-Time (Salaried),NA,"$54,080 - $63,440",General Public - G,Open,NA,Richmond,Sitter-Barfoot Veterans Care,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-lpn-richmond-virginia-united-states,2023-02-23
Certified Nurse Aide (CNA),Department of Veterans Services,Full-Time (Salaried),NA,"$35,360 - $43,680",General Public - G,Open,NA,Richmond,Sitter-Barfoot Veterans Care,https://www.jobs.virginia.gov/jobs/certified-nurse-aide-cna-richmond-virginia-united-states,2023-02-23
Special Assistant,Tobacco Rgn Revitalizatn Comm,Full-Time (Salaried),NA,"$40,000-$55,000 based on experience",General Public - G,Open,NA,Richmond,Richmond Central Office,https://www.jobs.virginia.gov/jobs/special-assistant-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Antitrust Unit (OAG00336)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-385e77ae-8952-484d-b933-3f6cee73f110,2023-02-23
"Assistant Attorney General, Health Professions Unit (OAG00150)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-a3dba95f-ff60-4418-8c65-45bd33ee47be,2023-02-23
"Assistant Attorney General, Civil Litigation Section (OAG00507)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states-e75dd8ee-e3cb-4b7b-8c92-62373e27781c,2023-02-23
"Assistant Attorney General, Unit Manager Position",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-unit-manager-position-richmond-virginia-united-states,2023-02-23
Assistant Clerk,Virginia State Bar,Full-Time (Salaried),NA,"$40,000-$45,000",General Public - G,Open,NA,Richmond,1111 E. Main Street,https://www.jobs.virginia.gov/jobs/assistant-clerk-richmond-virginia-united-states,2023-02-23
Engineer Associate EDGE (Statewide Opportunities),VA Department of Transportation,Full-Time (Salaried),NA,"$67,646 - $86,558 (varies based on geographic area)",General Public - G,Open,NA,"Bristol
  Colonial Heights
  Culpepper
  Fairfax County
  Fredericksburg
  Lynchburg
  Richmond
  Salem
  Staunton
  Suffolk

            Bristol
  Colonial Heights
  Culpepper",Old Hwy. Building,https://www.jobs.virginia.gov/jobs/engineer-associate-edge-richmond-virginia-united-states-22829da5-7306-4572-9495-11f039b5c52d,2023-02-23
Scientist I - CL626,Department of General Services,Full-Time (Salaried),NA,"$55,000 - $68,000",General Public - G,Open,NA,Richmond,DCLS,https://www.jobs.virginia.gov/jobs/scientist-i-cl626-richmond-virginia-united-states,2023-02-23
State Police Trooper I,Department of State Police,Full-Time (Salaried),NA,"2,199.50 Semi-Monthly",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",Chesterfield,https://www.jobs.virginia.gov/jobs/state-police-trooper-i-n-chesterfield-virginia-united-states,2023-02-23
State Police Trooper Rehire,Department of State Police,Full-Time (Salaried),NA,"Minimum of a $2,199.50 Semi-Monthly rate credited for satisfactory full years of state service as a Virginia State Police Trooper, in accordance with the sworn pay chart. Please contact a recruiter for additional details.",General Public - G,Open,NA,"Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Accomac
  Albemarle County
  Alexandria",Chesterfield,https://www.jobs.virginia.gov/jobs/state-police-trooper-rehire-n-chesterfield-virginia-united-states,2023-02-23
Community Engagement & Partnerships Specialist,The Library of Virginia,Full-Time (Salaried),NA,"$45,000-$50,000",General Public - G,Open,NA,Richmond,Library of Virginia Building,https://www.jobs.virginia.gov/jobs/community-engagement-partnerships-specialist-richmond-virginia-united-states,2023-02-23
Planning & Deployment Team Leader - FL007,Department of General Services,Full-Time (Salaried),NA,"$35,000 - $40,000",General Public - G,Open,NA,Richmond,FLEET,https://www.jobs.virginia.gov/jobs/planning-deployment-team-leader-fl007-richmond-virginia-united-states,2023-02-23
State Review Architect - EE009,Department of General Services,Full-Time (Salaried),NA,"$102,900 - $115,500",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/state-review-architect-ee009-richmond-virginia-united-states,2023-02-23
Application Developer - 00150,Department of General Services,Full-Time (Salaried),NA,"$90,000 - $95,000",General Public - G,Open,NA,Richmond,Monroe Building,https://www.jobs.virginia.gov/jobs/application-developer-00150-richmond-virginia-united-states,2023-02-23
Dental Hygienist - Coffeewood Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$54,023 - $84,275",General Public - G,Open,NA,"Culpepper
  Richmond",Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/template-dental-hygienist-mitchells-virginia-united-states,2023-02-23
Portfolio/Project Manager,Department of Taxation,Full-Time (Salaried),NA,Commensurate with Experience,General Public - G,Open,NA,"Norfolk
  Richmond",VAL RICHMOND HQ,https://www.jobs.virginia.gov/jobs/portfolio-project-manager-richmond-virginia-united-states,2023-02-23
Unemployment Tax Representative,Virginia Employment Commission,Full-Time (Salaried),NA,"$45,000 flat rate non-negotiable",General Public - G,Open,NA,"Chesterfield
  Henrico
  Petersburg
  Richmond

            Chesterfield
  Henrico
  Petersburg",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/unemployment-tax-representative-richmond-virginia-united-states,2023-02-23
Java Developer - Work From Home + Sign On Bonus!,Virginia Employment Commission,Full-Time (Salaried),NA,"$90,000 - $110,000",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",TELEWORK LOCATION STATEWIDE,https://www.jobs.virginia.gov/jobs/java-developer-work-from-home-sign-on-bonus-richmond-virginia-united-states,2023-02-23
Applications Programmer / Analyst Expert - Work From Home + Sign On Bonus!,Virginia Employment Commission,Full-Time (Salaried),NA,"$85,000 - $100,000",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",TELEWORK LOCATION STATEWIDE,https://www.jobs.virginia.gov/jobs/applications-programmer-analyst-expert-work-from-home-sign-on-bonus-richmond-virginia-united-states,2023-02-23
Information Technology Business Analyst - Work From Home + Sign On Bonus!,Virginia Employment Commission,Full-Time (Salaried),NA,"$50,881 - $75,000 annually",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",TELEWORK LOCATION STATEWIDE,https://www.jobs.virginia.gov/jobs/information-technology-business-analyst-work-from-home-sign-on-bonus-richmond-virginia-united-states,2023-02-23
Corrections Officer (Caroline Correctional Unit),Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Caroline
  Charles City
  Chesterfield
  Hanover
  Henrico
  Hopewell
  Petersburg
  Richmond

            Caroline
  Charles City
  Chesterfield",Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-caroline-correctional-unit-haynesville-virginia-united-states,2023-02-23
Capital Outlay Program Reviewer - EE061,Department of General Services,Full-Time (Salaried),NA,"$102,000 - $107,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/capital-outlay-program-reviewer-ee061-richmond-virginia-united-states,2023-02-23
Sr. Application & Integration Developer - 00020,Department of General Services,Full-Time (Salaried),NA,"$93,000 - $103,000",General Public - G,Open,NA,Richmond,Monroe Building,https://www.jobs.virginia.gov/jobs/sr-application-integration-developer-00020-richmond-virginia-united-states,2023-02-23
