Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Facility Compliance Program Mgr,VA Department of Transportation,Full-Time (Salaried),NA,"$74,166 - $95,000",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/facility-compliance-program-mgr-richmond-virginia-united-states-22e0f254-de3b-4225-b593-3c030e7d19ca,2023-02-23
Cognitive Counselor (Community Corrections): P&P District #33/Warsaw - #P3316,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond County,Warsaw P&P,https://www.jobs.virginia.gov/jobs/cognitive-counselor-community-corrections-p-p-district-33-warsaw-p3316-richmond-county-virginia-united-states,2023-02-23
Dispatcher or Dispatcher Trainee,Department of State Police,Full-Time (Salaried),3,"Salary is Negotiable and Commensurate with Experience for Dispatchers. Dispatcher Trainees will start at $35,578",General Public - G,Closed,2023-02-27T23:55:00Z,Salem,"Salem, Virginia",https://www.jobs.virginia.gov/jobs/dispatcher-or-dispatcher-trainee-outside-of-state-q-z-radford-virginia-united-states-rappahannock-richmond-richmond-county-roanoke-roanoke-county-rockbrid-094b4342-fca9-42d8-a7e1-e94d0787ce8e,2023-02-23
"Assistant Attorney General, Dept. of Medical Assisted Services (OAGDMA04)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Dept of Medical Asst Services,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-dept-of-medical-assisted-services-oagdma04-richmond-virginia-united-states,2023-02-23
Forensic Scientist - Digital & Multimedia Evidence - Central Laboratory - CF802,Department of Forensic Science,Full-Time (Salaried),NA,"$52,676 - $88,123",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond,Dept of Forensic Science,https://www.jobs.virginia.gov/jobs/forensic-scientist-digital-multimedia-evidence-central-laboratory-cf802-richmond-virginia-united-states,2023-02-23
Dispatcher or Dispatcher Trainee,Department of State Police,Full-Time (Salaried),3,"Salary is Negotiable and Commensurate with Experience for Dispatchers. Dispatcher Trainees will start at $35,578",General Public - G,Closed,2023-02-27T23:55:00Z,Salem,"Salem, Virginia",https://www.jobs.virginia.gov/jobs/dispatcher-or-dispatcher-trainee-outside-of-state-q-z-radford-virginia-united-states-rappahannock-richmond-richmond-county-roanoke-roanoke-county-rockbridge-county-rockingham-russell-salem-sc,2023-02-23
Dispatcher or Dispatcher Trainee,Department of State Police,Full-Time (Salaried),3,"Salary is Negotiable and Commensurate with Experience for Dispatchers. Dispatcher Trainees will start at $35,578",General Public - G,Closed,2023-02-27T23:55:00Z,Colonial Heights,"Colonial Heights, Virginia",https://www.jobs.virginia.gov/jobs/dispatcher-or-dispatcher-trainee-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bl,2023-02-23
Deputy Clerk - Augusta/Staunton,Supreme Court,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-02-28T23:55:00Z,Staunton,25th Dist. CSU Staunton,https://www.jobs.virginia.gov/jobs/deputy-clerk-augusta-staunton-staunton-virginia-united-states,2023-02-23
Crew Leader Structure & Bridge,VA Department of Transportation,Full-Time (Salaried),NA,"$40,314 - $65,511",General Public - G,Closed,2023-02-27T23:55:00Z,Louisa,Louisa Residency,https://www.jobs.virginia.gov/jobs/crew-leader-structure-bridge-louisa-virginia-united-states,2023-02-23
Program Support Technician,Department of State Police,Full-Time (Salaried),3,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-math-47e26c11-45a3-4ff4-8074-d371309e39ba,2023-02-23
Accounts Payable Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$64,393 - $81,015",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,Old Hwy. Building,https://www.jobs.virginia.gov/jobs/accounts-payable-supervisor-richmond-virginia-united-states,2023-02-23
Accountant,Department of State Police,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/accountant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgomery-county-nel,2023-02-23
Accounts Payable Accountant,Department of State Police,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/accounts-payable-accountant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mat-1725a8e4-fa63-41d7-a6e6-ffd9cc16cd25,2023-02-23
Real Pay for Real Jobs (RPRJ) EPIC Project Administrative Support - #ARSR1206,Department for Aging & Rehab Svcs,Full-Time (Salaried),3,"$29,772 - $42,500",General Public - G,Closed,2023-02-27T23:55:00Z,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/real-pay-for-real-jobs-rprj-epic-project-administrative-support-arsr1206-henrico-virginia-united-states,2023-02-23
Accounts Payable Accountant,Department of State Police,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/accounts-payable-accountant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-mont,2023-02-23
"Assistant Attorney General, Major Crimes and Emerging Threats (OAG00642)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Roanoke,ROANOKE 303,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-major-crimes-and-emerging-threats-oag00642-roanoke-virginia-united-states,2023-02-23
Business Systems Analyst,Department of State Police,Full-Time (Salaried),6,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/business-systems-analyst-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgom,2023-02-23
Program Support Technician,Department of State Police,Full-Time (Salaried),3,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montg,2023-02-23
Vocational Rehabilitation Counselor - #ARS00576,Department for Aging & Rehab Svcs,Full-Time (Salaried),4,"Minimum starting salary at $60,638 commensurate with experience",General Public - G,Open,NA,Manassas,Aging & Rehab Svcs (NOVA),https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars00576-manassas-virginia-united-states,2023-02-23
Food Production Worker A,Department of State Police,Full-Time (Salaried),1,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,Nottoway,"Nottoway, Virginia",https://www.jobs.virginia.gov/jobs/food-production-worker-a-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgom,2023-02-23
Chief Operations Officer,Department of Health,Full-Time (Salaried),NA,"$86,722 - $156,000",General Public - G,Open,2023-03-13T23:55:00Z,"Manassas
  Prince William",PRINCE WILLIAM-WOODBRIDGE,https://www.jobs.virginia.gov/jobs/chief-operations-officer-manassas-virginia-united-states-prince-william,2023-02-23
Equipment and Applications Specialist,Department of State Police,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/equipment-and-applications-specialist-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-midd,2023-02-23
Employment Services Spec Sr - #ARS00777,Department for Aging & Rehab Svcs,Full-Time (Salaried),3,Commensurate with experience,General Public - G,Open,NA,Manassas,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-spec-sr-ars00777-manassas-virginia-united-states,2023-02-23
Regional Dam Safety Engineer,Department Conservation & Recreation,Full-Time (Salaried),NA,"$90,000 - $110,000",General Public - G,Open,NA,Richmond,Office,https://www.jobs.virginia.gov/jobs/regional-dam-safety-engineer-richmond-virginia-united-states,2023-02-23
Equipment and Applications Specialist (NOC),Department of State Police,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/equipment-and-applications-specialist-noc-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-,2023-02-23
RN Weekend Shift Supervisor,Department of Veterans Services,Full-Time (Salaried),NA,$40.00-41.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-weekend-shift-supervisor-virginia-beach-virginia-united-states-8dca5321-059f-424b-8ac3-16f4e26d033b,2023-02-23
General Accounting and Reporting Manager (Hybrid),Virginia Retirement System,Full-Time (Salaried),NA,"$96,400 - $120,000",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/general-accounting-and-reporting-manager-hybrid-richmond-virginia-united-states,2023-02-23
Rehabilitation Teacher - #BVI00124,Department for Blind/Vision Impaired,Full-Time (Salaried),4,"Minimum starting salary at $53,075 commensurate with experience",General Public - G,Open,NA,Fairfax County,Blind & Vision Impaired (NOVA),https://www.jobs.virginia.gov/jobs/rehabilitation-teacher-bvi00124-fairfax-county-virginia-united-states,2023-02-23
Communications Technician,Department of State Police,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"North Chesterfield, Virginia",https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex-montgo,2023-02-23
IT Project Manager,Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience, up to $110,000",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond,IT SERVICES,https://www.jobs.virginia.gov/jobs/it-project-manager-richmond-virginia-united-states,2023-02-23
Title I Specialist,Department of Ed Central Operations,Full-Time (Salaried),5,"$75,000 min. - $93,713 max.",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/title-i-specialist-richmond-virginia-united-states,2023-02-23
Fiscal Assistant,Department of Health,Full-Time (Salaried),NA,"$38,338 - $54,000",General Public - G,Closed,2023-02-27T23:55:00Z,"Manassas
  Prince William",PRINCE WILLIAM-WOODBRIDGE,https://www.jobs.virginia.gov/jobs/fiscal-assistant-manassas-virginia-united-states-prince-william,2023-02-23
Public Health Nurse Sr.,Department of Health,Full-Time (Salaried),NA,"$68,250 - $75,252",General Public - G,Closing soon,2023-03-10T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states-ddfc5e30-6e7d-4e71-bba9-08787ae61257,2023-02-23
Senior Financial Reporting and Compliance Specialist,Department of Ed Central Operations,Full-Time (Salaried),5,"$60,000 min. - $80,000 max.",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/senior-financial-reporting-and-compliance-specialist-richmond-virginia-united-states,2023-02-23
Public Health Nurse Sr.,Department of Health,Full-Time (Salaried),NA,"$68,250 - $75,252",General Public - G,Closing soon,2023-03-10T23:55:00Z,Greensville,CRATER-GREENSVILLE/EMPORIA,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-greensville-virginia-united-states,2023-02-23
Public Health Nurse Sr.,Department of Health,Full-Time (Salaried),NA,"$68,250 - $75,252",General Public - G,Closing soon,2023-03-10T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states,2023-02-23
Business Manager C (ALX),Department of Health,Full-Time (Salaried),NV 5,"$100,000-$142,689",General Public - G,Open,2023-03-13T23:55:00Z,Alexandria,Alexandria HQ,https://www.jobs.virginia.gov/jobs/business-manager-c-alx-alexandria-virginia-united-states,2023-02-23
Public Health Nurse Sr.,Department of Health,Full-Time (Salaried),NA,"$68,250 - $75,252",General Public - G,Closing soon,2023-03-10T23:55:00Z,Prince George,CRATER-PRINCE GEORGE,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-prince-george-virginia-united-states,2023-02-23
RN Weekend Shift Supervisor,Department of Veterans Services,Full-Time (Salaried),NA,$40.00-$41.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-weekend-shift-supervisor-virginia-beach-virginia-united-states,2023-02-23
Production Technician: Virginia Correctional Enterprises #00235,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,626 - $50,440",General Public - G,Closed,2023-02-28T23:55:00Z,Powhatan,State Farm Enterprise Unit,https://www.jobs.virginia.gov/jobs/production-technician-virginia-correctional-enterprises-00235-powhatan-virginia-united-states-61741fe9-e9c9-42bb-8079-cac01cfd35f2,2023-02-23
Cognitive Counselor: P&P District #11 Winchester,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",Agency Employee Only - A,Closed,2023-02-28T23:55:00Z,Winchester,Winchester P&P,https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-11-winchester-winchester-virginia-united-states,2023-02-23
Corrections Officer: Stafford CCAP #01149,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Closed,2023-02-28T23:55:00Z,Stafford,Stafford CCAP,https://www.jobs.virginia.gov/jobs/corrections-officer-stafford-ccap-01149-stafford-virginia-united-states-73194cbc-400a-4278-a7cc-ea1a47d4bfdc,2023-02-23
Corrections Sergeant: Central Virginia Correctional Unit #13  #13085,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Closed,2023-02-28T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/corrections-sergeant-central-virginia-correctional-unit-13-13085-chesterfield-virginia-united-states,2023-02-23
Fiscal Tech Senior: Central Virginia Correctional Unit #13,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$38,000 - $54,317",General Public - G,Closed,2023-02-28T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/fiscal-tech-senior-central-virginia-correctional-unit-13-chesterfield-virginia-united-states,2023-02-23
Casework Counselor: Virginia Correctional Center For Women #00146,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Closed,2023-02-28T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/casework-counselor-virginia-correctional-center-for-women-00146-goochland-virginia-united-states,2023-02-23
Cognitive Counselor: Virginia Correctional Center For Women #02017,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closed,2023-02-28T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/cognitive-counselor-virginia-correctional-center-for-women-02017-goochland-virginia-united-states,2023-02-23
Inmate Grievance Coordinator: Nottoway Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$34,818 - $54,317",Agency Employee Only - A,Closed,2023-02-28T23:55:00Z,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-nottoway-correctional-center-nottoway-virginia-united-states,2023-02-23
Cognitive Counselor: Dillwyn Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closed,2023-02-28T23:55:00Z,Buckingham,Dillwyn Correctional Center,https://www.jobs.virginia.gov/jobs/cognitive-counselor-dillwyn-correctional-center-buckingham-virginia-united-states,2023-02-23
Human Resources Analyst : Virginia Correctional Ctr For Women #00016,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,200 - $68,108",State Only - S,Closed,2023-02-28T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/human-resources-analyst-virginia-correctional-ctr-for-women-00016-goochland-virginia-united-states,2023-02-23
Program Support Technician: VIrginia Correctional Center for Women,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Closed,2023-02-28T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-correctional-center-for-women-goochland-virginia-united-states,2023-02-23
Corrections Sergeant: Virginia Correctional Center for Women #00285,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,400 - $82,732",Agency Employee Only - A,Closed,2023-02-28T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/corrections-sergeant-virginia-correctional-center-for-women-00285-goochland-virginia-united-states,2023-02-23
Food Operations Assistant Director: Virginia Correctional Center for Women #01123,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Closed,2023-02-28T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-virginia-correctional-center-for-women-01123-goochland-virginia-united-states,2023-02-23
Time Computation Correspondence Specialist: Central Administration #01427,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$38,000 - $54,317",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/time-computation-correspondence-specialist-central-administration-01427-richmond-virginia-united-states-24cd99b9-6b13-429b-bb22-f71a39f786a6,2023-02-23
Corrections Assistant Warden: Coffeewood Correctional Center #00003,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$67,980 - $122,804",Agency Employee Only - A,Closed,2023-02-28T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-assistant-warden-coffeewood-correctional-center-00003-culpepper-virginia-united-states,2023-02-23
Corrections Officer: Stafford CCAP #01149,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Closed,2023-02-28T23:55:00Z,Stafford,Stafford CCAP,https://www.jobs.virginia.gov/jobs/corrections-officer-stafford-ccap-01149-stafford-virginia-united-states,2023-02-23
Probation Officer: P&P District #9 Charlottesville #P0915,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Closed,2023-02-28T23:55:00Z,Charlottesville,Charlottesville P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-9-charlottesville-p0915-charlottesville-virginia-united-states,2023-02-23
Regulatory Compliance Specialist,Virginia State Bar,Full-Time (Salaried),NA,"$40,000",General Public - G,Open,NA,Richmond,Virginia State Bar,https://www.jobs.virginia.gov/jobs/regulatory-compliance-specialist-richmond-virginia-united-states,2023-02-23
AQM - P0729 - Air Quality Monitoring Specialist,Department of Environmental Quality,Full-Time (Salaried),5,"$50,811 - 85,000",General Public - G,Closed,2023-02-27T23:55:00Z,Henrico,Piedmont Regional Office,https://www.jobs.virginia.gov/jobs/aqm-p0729-air-quality-monitoring-specialist-henrico-virginia-united-states,2023-02-23
Benefits Administrator,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $55,000",General Public - G,Open,NA,"North Chesterfield
  Richmond",Central Office,https://www.jobs.virginia.gov/jobs/benefits-administrator-north-chesterfield-virginia-united-states-richmond,2023-02-23
Registered Nurse,Department of Veterans Services,Full-Time (Salaried),NA,$37.00-$38.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/registered-nurse-virginia-beach-virginia-united-states,2023-02-23
Certified Nursing Assistant,Department of Veterans Services,Full-Time (Salaried),NA,$19.00-21.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/certified-nursing-assistant-virginia-beach-virginia-united-states,2023-02-23
Cognitive Counselor: Greensville Correctional Ctr. Eastern Region -#01336,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closed,2023-02-28T23:55:00Z,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/cognitive-counselor-greensville-correctional-ctr-eastern-region-01336-greensville-virginia-united-states,2023-02-23
Probation Officer: P&P District #11 Winchester #P1108,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,700 - $48,200",General Public - G,Closed,2023-02-28T23:55:00Z,Winchester,Winchester P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-11-winchester-p1108-winchester-virginia-united-states,2023-02-23
Food Operations Supervisor: Coffeewood Correctional Center #00048,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$39,900 - $54,317",General Public - G,Closed,2023-02-28T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-coffeewood-correctional-center-00048-culpepper-virginia-united-states,2023-02-23
Electronic Technician Senior: Coffeewood Correctional Center #00096,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$46,305 - $72,236",General Public - G,Closed,2023-02-28T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/electronic-technician-senior-coffeewood-correctional-center-00096-culpepper-virginia-united-states,2023-02-23
Program Support Technician (Timekeeper): Lunenburg Correctional Center #00457,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Closed,2023-02-28T23:55:00Z,Lunenburg,Lunenburg Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-timekeeper-lunenburg-correctional-center-00457-lunenburg-virginia-united-states,2023-02-23
Electrician Supervisor: Buckingham Correctional Center #00046,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,659 - $68,108",General Public - G,Closed,2023-02-28T23:55:00Z,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/electrician-supervisor-buckingham-correctional-center-00046-buckingham-virginia-united-states,2023-02-23
Casework Counselor: Central Virginia Correctional Unit #13  #13060,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Closed,2023-02-28T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/casework-counselor-central-virginia-correctional-unit-13-13060-chesterfield-virginia-united-states,2023-02-23
Cognitive Counselor: Lunenburg Correctional Center #00462,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Closed,2023-02-28T23:55:00Z,Lunenburg,Lunenburg Correctional Center,https://www.jobs.virginia.gov/jobs/cognitive-counselor-lunenburg-correctional-center-00462-lunenburg-virginia-united-states,2023-02-23
Storekeeper Supervisor: VA Correctional Center For Women #00174,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,850 - $49,686",General Public - G,Closed,2023-02-28T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/storekeeper-supervisor-va-correctional-center-for-women-00174-goochland-virginia-united-states,2023-02-23
Business Coordinator,VA Department of Transportation,Full-Time (Salaried),NA,"$58,500 - $94,500",General Public - G,Closed,2023-02-27T23:55:00Z,Fairfax County,NOVA District Office,https://www.jobs.virginia.gov/jobs/business-coordinator-fairfax-county-virginia-united-states,2023-02-23
"Regional Marketing Specialist (food, agricultural and specialty crop products)",Agriculture & Consumer Svcs,Full-Time (Salaried),NA,"Up to $75,600 annually",General Public - G,Closing soon,2023-03-10T23:55:00Z,"Accomac
  Northampton
  Virginia Beach",EASTERN SHORE or VIRGINIA BEACH,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-specialty-crop-products-accomac-virginia-united-states-northampton-virginia-beach,2023-02-23
"Coordinator, Governor’s Schools and Gifted Education, K-12",Department of Ed Central Operations,Full-Time (Salaried),6,"$75,000 min. - $99,000 max.",General Public - G,Closed,2023-03-06T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/coordinator-governor-s-schools-and-gifted-education-k-12-richmond-virginia-united-states,2023-02-23
RN 11-7 Shift Relief Supervisor,Department of Veterans Services,Full-Time (Salaried),NA,$40.00-$41.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-11-7-shift-relief-supervisor-virginia-beach-virginia-united-states,2023-02-23
RN 3-11 Shift Relief Supervisor,Department of Veterans Services,Full-Time (Salaried),NA,$40.00-$41.00,General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-3-11-shift-relief-supervisor-virginia-beach-virginia-united-states,2023-02-23
Senior Research Associate,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $90,000",General Public - G,Closed,2023-03-01T23:55:00Z,Richmond,Central Office,https://www.jobs.virginia.gov/jobs/senior-research-associate-richmond-virginia-united-states,2023-02-23
Housekeeper,Department of Veterans Services,Full-Time (Salaried),NA,"$24,960.00 $29,000.00",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/day-porter-float-virginia-beach-virginia-united-states,2023-02-23
Human Resources Analyst,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/human-resource-analyst-richmond-virginia-united-states-ca202b8d-70a2-4252-bd02-a23ad2133681,2023-02-23
Nutrition Services Aide,Department of Veterans Services,Full-Time (Salaried),NA,"$33,280 - $39,520",General Public - G,Open,NA,Richmond,Sitter-Barfoot Veterans Care,https://www.jobs.virginia.gov/jobs/nutrition-services-aide-richmond-virginia-united-states,2023-02-23
Corrections Officer - State Farm Correctional Complex,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,"Goochland
  Richmond",State Farm Correctional Center,https://www.jobs.virginia.gov/jobs/corrections-officer-state-farm-virginia-united-states-809beb00-b44a-4b84-946a-5d35777d5d32,2023-02-23
Compliance Coordinator,Department of Criminal Justice Svcs,Full-Time (Salaried),NA,"The starting salary range is $65,000 - $72,000",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond,Dept of Criminal Justice Serv.,https://www.jobs.virginia.gov/jobs/compliance-coordinator-richmond-virginia-united-states,2023-02-23
Systems Analyst - Advanced #W5165,Department of Social Services,Full-Time (Salaried),NA,"Up to $114,768/yr. (salary commensurate with experience)",General Public - G,Open,NA,Richmond,Dept of Social Services,https://www.jobs.virginia.gov/jobs/systems-analyst-advanced-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Transportation Section (OAG00485)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-richmond-virginia-united-states,2023-02-23
